Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
3636614	La ciénaga[videorecording] /Janus Films ; Nippon Film Developement & Finance, Inc. ; Fundación Octubre ; Romikin S.A. ; Wanda Visión ; Riofilme ; TS Productions ; Lita Stantic y 4K Films S.A. presentan ; un film de Lucrecia Martel ; producido por Lita Stantic ; guión y dirección, Lucrecia Martel ; Cuatro Cabezas Films S.A.	English title from subtitles:Swamp	[New York, N.Y.] :The Criterion Collection,[2015]	1 videodisc (101 min.) :sound, color ;4 3/4 in. +1 booklet (6 pages : color illustrations ; 19 cm)	Originally produced as a motion picture in 2001.;In the opening credits, the word Development is incorrectly spelled as Developement.;Special features: Lucrecia Martel (the director examines her inspirations and approach to cinema); Andrés Di Tella (new interview with filmmaker Andrés de Tella about Martel and the film); Trailer; New English subtitle translation. Insert features an essay by critic David Oubiña.	With a radical take on narrative, disturbing yet beautiful cinematography, and a highly sophisticated use of on- and offscreen sound, Martel turns her tale of a decaying bourgeois family, whiling away the hours of one sweaty, sticky summer, into a cinematic marvel. This visceral take on class, nature, sexuality, and the ways political turmoil and social stagnation can manifest in human relationships is a drama of amazing tactility and one of the great contemporary film debuts.	Middle class families--Argentina--Drama.;Middle class--Family relationships--Argentina--Drama.;Dysfunctional families--Argentina--Drama.	Argentina--Social conditions--Drama.	Dark comedy films.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	Martel, Lucrecia,1966-screenwriter,film director.;Stantic, Lita,presenter,film producer.;Guebel, Diego,film producer.;Aizenberg, Ana,film producer.;Pergolini, Mario,1964-film producer.;Morán, Mercedes,actor.;Borges, Graciela,actor.;Adjemían, Martín,actor.;Bayle, Silvia,actor.;Cruz Bordeu, Juan,1970-actor.;Valenzuela, Daniel,actor.;Bertolotto, Sofía,actor.;López, Andrea,actor.;Balcarce, Leonora,1978-actor.;Colace, Hugo,1953-cinematographer.;Oderigo, Graciela,1948-art director.;Ricci, Santiago,film editor.;Di Tella, Andrés,interviewee (expression);Oubiña, David,writer of supplementary textual content.	Nippon Film Development & Finance, Inc.,production company.;Fundación Octubre (Buenos Aires, Argentina),production company.;Chemo Romikin, S.A,production company.;Wanda Vision (Firm),production company.;RIOFILME (Organization),production company.;TS Productions (Firm),production company.;Cuatro Cabezas Films S.A,production company,presenter.;Criterion Collection (Firm),film distributor.
3590021	Beautiful weapon[videorecording] /Toei Video Co., Ltd. presents a Kazuo Komizu film ; producers, Makoto Okada, Nobuaki Murooka, Takashi Sugiura ; screenplay, Kazuo Komizu ; director, Kazuo Komizu.	XX: utsukushiki kyôki	New York :Asia Pulp Cinema / Central Park Media,2003.	1 videodisc (94 min.) :sound, color ;4 3/4 in.	Special features: trivia quiz; photo gallery; Beautiful series trailers; previews.	She is a blind but beautiful assassin who lures her prey into a deadly trap. None have lived to escape her murderous kiss. But now she knows too much, and a criminal mastermind has hired a killer to silence her forever. Sparks fly, and the two assassins find themselves locked in a forbidden embrace. One will live, and one will die. But the Beautiful Weapon will not die easily.--Container.	Assassins--Drama.;Female assassins--Drama.;Blind women--Drama.;Feature films.	Japan--Drama.		Komizu, Kazuo,1946-director,screenwriter.;Okada, Makoto,1932-producer.;Murooka, Nobuaki,producer.;Sugiura, Takashi,producer.;Miyazaki, Masumi,1968-actor.;Kusakari, Masao,actor.;Katō, Takeshi,1929-2015,actor.;Murai, Kunio,actor.;Ōsugi, Ren,actor.;Arai, Norihito,actor.	Tōei Bideo Kabushiki Kaisha,production company.;Asia Pulp Cinema (Firm),distributor.;Central Park Media (Firm),distributor.
3644871	Woman in the shadows[videorecording] /Commonwealth presents ; screenplay, Sada Cowan ; produced by Select Pictures ; director, Phil Rosen ; associate producer, Burt Kelly.	Title on container:Woman in the dark	[Bridgeport, Connecticut] :Synergy Entertainment,[not before 2001]	1 videodisc (69 min.) :sound, black and white ;4 3/4 in.	"From the book ""Woman in the dark"" by Dashiell Hammett.;Originally produced as a motion picture in 1934.;Synergy Entertainment was founded in 2001."	A paroled prisoner hits a man attacking a woman. He runs away scared that he may have killed him. He did not.	Parolees--Drama.;Fugitives from justice--Drama.			Adaptation of (work):Hammett, Dashiell,1894-1961.Woman in the dark.;Rosen, Philip E.,1888-1951,film director.;Kelly, Burt,film producer.;Cowan, Sada,screenwriter.;Wray, Fay,1907-2004,actor.;Bellamy, Ralph,1904-1991,actor.;Douglas, Melvyn,actor.;Ates, Roscoe,1895-1962,actor.;Ruttenberg, Joseph,1889-1983,cinematographer.	Commonwealth (Firm),presenter.;Select Pictures Corp.,production company.
3644944	Vexed.Series 1[videorecording] /a Greenlit Rights production for BBC ; written by Howard Overman ; produced by Eve Gutierrez ; directed by Matt Lipsey.	Vexed.Season 1	Silver Spring, MD :Acorn Media,[2012];©2012	1 videodisc (175 min.) :sound, color ;4 3/4 in.	Created by Howard Overman.;Originally broadcast as single episodes of a television series in 2010.	Vexed follows two mismatched police detectives as they banter and bicker their way through London's toughest cases. Includes three episodes.	Police--Drama.;Man-woman relationships--Drama.		Detective and mystery television programs.--lcgft;Television series.--lcgft;Video recordings for the hearing impaired.--lcgft	Overman, Howard,screenwriter.;Gutierrez, Eve,producer.;Lipsey, Matt,director.;Stephens, Toby,1969-actor.;Punch, Lucy,1977-actor.;Palmer, Tim,cinematographer.;Phillips, Charlie,editor of moving image work.;Dowling, Willie,composer.	Acorn Media (Firm);Greenlit Productions.;British Broadcasting Corporation.
3534555	L'ingorgo[videorecording] /un film di Luigi Comencini ; una produzione Clesi Cinematografica ; in coproduzione con Greenwich Film Production, Paris, José Frade Prod. Cinemat., Madrid, Albatros Produktion, Munchen ; soggetto, Luigi Comencini ; sceneggiatura, Luigi Comencini, Ruggero Maccari, Bernardino Zapponi ; prodotto da Silvio e Anna Maria Clementelli ; diretto da Luigi Comencini.	Title from container:Gran embotellamiento =l'ingorgo = traffic jam = il grande atasco = una historia imposible = black out in autostrada = autopista del sur = grand embouteillage;Title from subtitles:Embotellamiento;Traffic jam;Grande atasco;Historia imposible;Black out in autostrada;Autopista del sur;Grand embouteillage	[Buenos Aires] :Videotecavirtual.com.ar,[date of publication not identified]	1 videodisc (109 min.) :sound, color ;4 3/4 in.	"Based on the story ""La autopista del sur "" by Julio Cortázar.;Originally produced as a motion picture in 1979.;Duration on container listed as 121 min.; actual run time 109 min."	In this ensemble-cast motion picture, an epic traffic jam strands a mixture of Romans on a stretch of highway, their personal crises unfolding and increasing as the hours drag by.	Traffic congestion--Italy--Rome--Drama.;Human behavior--Drama.		Feature films.--lcgft	Clementelli, Silvio,film producer.;Clementelli, Anna Maria,film producer.;Maccari, Ruggero,1919-1989,screenwriter.;Zapponi, Bernardino,screenwriter.;Sordi, Alberto,1919-2003,actor.;Girardot, Annie,1931-2011,actor.;Rey, Fernando,1917-1994,actor.;Dewaere, Patrick,1947-1982,actor.;Guarnieri, Ennio,1930-cinematographer.;Carpi, Fiorenzo,1918-1997,composer (expression);Cortázar, Julio.Autopista del sur.;Frade, José,film producer.	Clesi Cinematografica (Firm),production company.;Greenwich Film Production S.A,production company.;Albatros Filmproduktion,production company.;Videoteca Virtual (Firm),publisher.
3588654	Forests, biodiversity and you[videorecording] /Bullfrog Films presents ; producer/writer Sharon Howard ; a production of Howard Rosen Productions ; directed by Sharon Howard and Michael Rosen.	Natural connections	Oley, PA :Bullfrog Films,[1999];©1999	1 videodisc (approximately 10 min.) :sound, color ;4 3/4 in.		Uses interviews with scientists, photography, graphics, and original music to introduce the basic concepts of biodiversity, underline the importance of maintaining biodiversity, explore how nature and human nature are intertwined and how everyday decisions affect biodiversity. Takes a close-up look at salmon, rainforests, and marine ecosystems as examples.	Biodiversity.;Biodiversity conservation.;Forest management.			Howard, Sharon,film producer,screenwriter,director.;Rosen, Michael,director,director of photography,editor of moving image work.;Coyote, Peter,narrator.;Allen, Steven Ray,composer.	Howard Rosen Productions,production company.;Bullfrog Films,film distributor.
3554660	Portuguese in California[videorecording] :TV series and documentary /Azores TV in association with NPG Productions presents a documentary by Nelson Ponta-Garça ; produced by Fernando Fragata, Sandra Meirelles Menino ; written and directed by Nelson Ponta-Garça.	Title on container:Portuguese in California :documentary	[California?] :[Nelson Ponta-Garça?],[2014?]	4 videodiscs (450 min.) :sound, color with black and white sequences ;4 3/4 in.	Originally produced as a television program in 2012[?].	Portuguese in California is a bilingual documentary that showcases the Portuguese American population living in California and offers the viewer a comprehensive historical overview of this unique and vibrant ethnic population.	Portuguese Americans--California.;Portuguese Americans--California--History.;Azoreans--California--History.	Azores--Emigration and immigration--History.;California--Emigration and immigration--History.	Documentary television programs.--lcgft;Ethnic television programs.--lcgft;Historical television programs.--lcgft	Menino, Sandra Meirelles,film producer,interviewer.;Fragata, Fernando,film producer,editor of moving image work.;Ponta-Garça, Nelson,film director,screenwriter,interviewer,editor of moving image work,director of photography.;Mason, Peter,narrator.;Sá, Filipe,narrator,interviewer.;Quigley, Tim,interviewer.;Simões, Angela,interviewer.;Tavares, Filipe,interviewer.;Brito, João de,interviewer.	AzoresTV (Firm),television production company.;NPG Productions,television production company.
3645925	880-01Geṭ :[videorecording]ha-mishpaṭ shel Ṿiṿiʼan Amsalem = Gett : the trial of Viviane Amsalem /sirṭam shel Ronit u-Shelomi Elḳabets.	Variant title from container:Gett :the trial of Viviane Amsalem	880-02[Tel Aviv] :2BG ;Bate ḳolnoʻa Lev,2014.;©2014	viewing copy1 videodisc (116 min.) :sound, color ;4 3/4 in	Originally produced as a motion picture in 2014.;Special Features: Making of documentary ; The cinema of Gett--an interview with Shlomi Elkabetz ; 2015 Golden Globes symposium ; PRX Radio interview with Shlomi Elkabetz;Sources used: video container.	"""In Israel there is neither civil marriage nor civil divorce. Only rabbis can legitimate a marriage or its dissolution. But this dissolution is only possible with full consent from the husband, who in the end has more power than the judges. Viviane Amsalem has been applying for divorce for three years. But her husband Elisha will not agree. His cold intransigence, Viviane's determination to fight for her freedom, and the ambiguous role of the judges shape a procedure in which tragedy vies with absurdity, and everything is brought out for judgment, apart from the initial request""--Director's Fortnight."	Divorce--Israel--Drama.;Divorce--Religious aspects--Judaism--Drama.;Divorce (Jewish law)--Drama.		Fiction films.--lcgft;Feature films.--lcgft	880-03Elkabetz, Ronit,film director,screenwriter,actor.;880-04Elkabetz, Shlomi,1972-film director,screenwriter,film producer.;Bigger, Efrat,film producer.;Abkarian, Simon,actor.;ʻAmrani, Gavi,actor.;Hallak, Bassel,composer (expression);Alexis, Joelle,1970-editor of moving image work.;Lapoirie, Jeanne,director of photography.	2BG Films,film distributor.;880-05Bate ḳolnoʻa Lev,film distributor.;Israel and Judaica Section Video Collection (Library of Congress)DLC
3572611	880-01Ha-hi she ḥozeret habaitah[videorecording] =She's coming home /tasriṭ ṿe-bimui, Mayah Dreifus.	She's coming home	880-02Israel :Lama Films :NMC United,2013.	1 videodisc (83 min.) :sound, color ;4 3/4 in.		Film is about delayed adolescence. At the end of a long relationship, Michal returns to her parents' home. Michal is a young, promising director, who should be devoting her time to writing a screenplay, but instead shuts herself up in her room, frustrated, and spends most of her time sleeping. Things change when Michal meets Zeev - the principal of the local high school, a 50 year old married man, and falls in love.	Young women--Israel--Drama.;Man-woman relationships--Israel--Drama.;Married men--Israel--Drama.			Dreifuss, Maya,film director, screenwriter.;Sharon, Ṭali,actor.;Aboutboul, Alon,actor.;Rivlin, Liʼorah,actor.;Cohn, Eli,actor.	Lama Films,production company.;NMC United Entertainment (Firm)
3575460	880-01Up the wrong tree[videorecording] /director, Gur Benṭvich.	La-redet meha-ʻetz	[Israel] :NMC United,[2015]	1 videodisc (91 min.) :sound, color ;4 3/4 in.	Title from sell sheet.;Originally produced as a motion picture in 2013.;Bonus: trailer; featurette: the making of.	In this tale of a cynical bum turned hero, long time wanderer Nits is back home, ready to rejoin his ex-girlfriend. When she kicks him to the curb, he climbs a tree in an empty lot next door to wait her out, but finds himself in the middlle of a fierce battle. Eco activists against real estate sharks who want to knock down the trees and put up a parking lot. Nits finally discovers a cause worth fighting for as bulldozers threaten to topple him and his treetop home to the ground.	Environmentalists--Israel--Drama.;Man-woman relationships--Israel--Drama.		Feature films.--lcgft;Fiction films.--lcgft	Bentwich, Gur,film director,actor.;Agronov, Sasha,actor.	Sisu Home Entertainment, Inc.,publisher.
